State,District,Latitude,Longitude
Andaman and Nicobar,Andaman Islands,12.382571069235052,92.82291050641506
Andaman and Nicobar,Nicobar Islands,7.835290749774195,93.51160123757859
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176
Andhra Pradesh,Anantapur,14.312065561843147,77.4601584478577
Andhra Pradesh,Chittoor,13.331092630676961,78.92763898886037
Andhra Pradesh,Cuddapah,14.490289134125629,78.69613870967754
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511
Andhra Pradesh,Guntur,15.884925767634849,80.58657614107885
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244
Andhra Pradesh,Nellore,13.894344071421889,80.14702671812498
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035
Andhra Pradesh,Prakasam,15.489039001601705,80.11665790176184
Andhra Pradesh,Rangareddi,17.245235872576178,78.05756828254849
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675
Andhra Pradesh,Vishakhapatnam,17.6468390339893,83.01014035778171
Andhra Pradesh,Vizianagaram,18.283296960329718,83.45982854198873
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196
Arunachal Pradesh,Changlang,27.360484793388455,96.37552644628106
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997
Arunachal Pradesh,East Siang,28.153823529411756,95.06499226006191
Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459834
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547943
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142
Arunachal Pradesh,Lower Subansiri,27.708492972972966,93.96226108108112
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283017
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862
Arunachal Pradesh,Upper Dibang Valley,29.01994783653848,95.98776394230764
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.89914356223181
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452085
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908
Assam,Barpeta,26.427872264631056,90.97912010178115
Assam,Bongaigaon,26.450125219941334,90.6734296187684
Assam,Cachar,24.815570668693017,92.86849650455927
Assam,Darrang,26.58463215962442,92.04141338028157
Assam,Dhemaji,27.586533438485816,94.71336908517353
Assam,Dhuburi,26.045061484453374,89.98500822467393
Assam,Dibrugarh,27.30612284482757,95.0998282327587
Assam,Goalpara,26.017277777777807,90.59869891598912
Assam,Golaghat,26.377219709794485,93.82583397823467
Assam,Hailakandi,24.457496089385486,92.59154664804475
Assam,Jorhat,26.76244824016563,94.30197722567287
Assam,Kamrup,26.170939452054807,91.58863273972592
Assam,Karbi Anglong,26.08966454598031,93.11536570271831
Assam,Karimganj,24.69660712250711,92.36794985754979
Assam,Kokrajhar,26.497246635730868,90.13997470997687
Assam,Lakhimpur,27.141288059701495,94.0775949253732
Assam,Marigaon,26.24650046728974,92.21949953271024
Assam,Nagaon,26.26462170626351,92.9306191144708
Assam,Nalbari,26.46323767605632,91.40598521126765
Assam,North Cachar Hills,25.338299853157107,92.97740205580035
